id	label	label_num	umap_no_mfw_x	umap_no_mfw_y	umap_su_mfw_x	umap_su_mfw_y	color	title	token	ttr	psttr_value	basic_vocab	publisher	author	date	match_id	reihe	typ	ivis_no_mfw_x	ivis_no_mfw_y	ivis_su_mfw_x	ivis_su_mfw_y
9783838734071	Horror	6	-6.1377287	-3.8820555	-0.8707988	-17.795933	black	John Sinclair - Folge 0627 : Nadine und die Mörderwölfe	33018	0.134748765787322	1	0.429787362936936	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734071	Jason Dark	Serie	-4.7661505	2.7187743	-30.077503	-15.649909
9783838734088	Horror	6	-5.7216697	-4.242	-0.1313282	-18.077782	black	John Sinclair - Folge 0628 : Die Geister vom Leichenbaum (1. Teil)	32625	0.148777048979342	1	0.446450465914664	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734088	Jason Dark	Serie	-4.705755	2.6329277	-30.398918	-16.339607
9783838734095	Horror	6	-6.1696057	-4.067957	-0.5632297	-17.652462	black	John Sinclair - Folge 0629 : Der Racheengel (2. Teil)	33725	0.142213260585933	1	0.422560270438573	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734095	Jason Dark	Serie	-4.2865705	2.6301742	-29.591108	-17.178314
9783838734101	Horror	6	-5.9590945	-4.11889	0.1749976	-17.174032	black	John Sinclair - Folge 0633 : Wenn Druidenseelen trauern	33374	0.140109066938335	1	0.426195613088817	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734101	Jason Dark	Serie	-5.247005	2.7008636	-30.452784	-15.298684
9783838734118	Horror	6	-5.744062	-4.5188117	-0.30238283	-17.63673	black	John Sinclair - Folge 0681 : Leichenschiff der Druiden	33170	0.149687961650939	1	0.417191787017216	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734118	Jason Dark	Serie	-4.611021	2.9233546	-30.882845	-16.756094
9783838734125	Horror	6	-5.9997215	-4.2300267	-0.24591832	-18.264597	black	John Sinclair - Folge 0682 : Das Geisterkind	33441	0.136504993720471	1	0.42406028527855	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734125	Jason Dark	Serie	-5.3023567	2.6950512	-30.911694	-15.134991
9783838734132	Horror	6	-5.0166445	-3.324034	0.14119594	-17.657164	black	John Sinclair - Folge 0683 : Die Verdammten der Nacht (1. Teil)	33156	0.139582579321993	1	0	Bastei Lübbe	0	0	9783838734132	Jason Dark		-6.0085707	2.7185717	-33.291344	-14.91116
9783838734149	Horror	6	-5.647272	-4.170534	-0.60820276	-17.498669	black	John Sinclair - Folge 0684 : Wald der toten Geister (2. Teil)	33431	0.144950945202201	1	0.426729682031647	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734149	Jason Dark	Serie	-4.3232856	2.7238026	-27.544436	-16.955175
9783838734156	Horror	6	-5.68106	-4.4039207	-0.29738933	-17.151993	black	John Sinclair - Folge 0685 : Monster-Town (1. Teil)	32997	0.149190860052124	1	0.430251234960754	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734156	Jason Dark	Serie	-4.9816084	3.0624847	-31.325306	-17.511686
9783838734163	Horror	6	-5.944979	-4.227312	-0.12946765	-17.511894	black	John Sinclair - Folge 0686 : Horror am Himmel (2. Teil)	32864	0.145287440275115	1	0.434749528273176	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734163	Jason Dark	Serie	-4.180949	2.9358003	-29.118242	-15.132228
9783838734170	Horror	6	-6.161242	-3.907931	-0.29592037	-17.506783	black	John Sinclair - Folge 0687 : Sie sind wieder da (3. Teil)	33208	0.137480034957659	1	0.442408534747755	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734170	Jason Dark	Serie	-5.07257	2.7339563	-32.20237	-15.064263
9783838734187	Horror	6	-6.156449	-3.9912052	-1.0164467	-17.775549	black	John Sinclair - Folge 0688 : Der Kult	33409	0.146213708470518	1	0.428627016672154	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734187	Jason Dark	Serie	-4.58183	2.735409	-29.566082	-17.089651
9783838734194	Horror	6	-6.117582	-4.0192475	-0.47874212	-17.516409	black	John Sinclair - Folge 0689 : Draculas Blutuhr	32642	0.151318209687308	1	0.42475244489408	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734194	Jason Dark	Serie	-4.757074	2.8846402	-30.938377	-15.660964
9783838734200	Horror	6	-6.3362107	-4.151778	-0.44887844	-18.09981	black	John Sinclair - Folge 0690 : Leilas Totenzauber	31998	0.140004375136723	1	0.417789167734475	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734200	Jason Dark	Serie	-4.177727	2.9492164	-30.983973	-17.551317
